ioc,score,sources
1.10.223.161,1,abuseipdb
1.14.141.8,1,abuseipdb
1.15.51.236,1,abuseipdb
1.162.140.159,1,abuseipdb
1.162.198.143,1,abuseipdb
1.164.175.25,1,abuseipdb
1.180.62.41,1,abuseipdb
1.197.102.62,1,abuseipdb
1.213.196.20,1,abuseipdb
1.213.214.233,1,abuseipdb
1.214.117.218,1,abuseipdb
1.214.179.202,1,abuseipdb
1.214.197.163,1,abuseipdb
1.214.29.155,1,abuseipdb
1.222.42.237,1,abuseipdb
1.223.151.51,1,abuseipdb
1.225.62.211,1,abuseipdb
1.234.27.159,1,abuseipdb
1.238.114.145,1,abuseipdb
1.247.216.26,1,abuseipdb
1.250.67.114,1,abuseipdb
1.251.50.105,1,abuseipdb
1.30.199.218,1,abuseipdb
1.30.20.238,1,abuseipdb
1.34.10.66,1,abuseipdb
1.34.7.104,1,abuseipdb
1.53.88.32,1,abuseipdb
1.55.33.86,1,abuseipdb
1.64.106.48,1,abuseipdb
1.64.107.137,1,abuseipdb
1.65.172.176,1,abuseipdb
1.9.164.197,1,abuseipdb
1.92.91.176,1,abuseipdb
1.94.220.55,1,abuseipdb
1.94.6.230,1,abuseipdb
100.14.156.132,1,abuseipdb
100.24.149.244,1,abuseipdb
100.25.120.246,1,abuseipdb
100.27.153.9,1,abuseipdb
100.27.169.19,1,abuseipdb
100.28.153.226,1,abuseipdb
100.28.49.152,1,abuseipdb
100.29.192.1,1,abuseipdb
100.29.192.10,1,abuseipdb
100.29.192.101,1,abuseipdb
100.29.192.102,1,abuseipdb
100.29.192.103,1,abuseipdb
100.29.192.106,1,abuseipdb
100.29.192.107,1,abuseipdb
100.29.192.11,1,abuseipdb
100.29.192.110,1,abuseipdb
100.29.192.112,1,abuseipdb
100.29.192.113,1,abuseipdb
100.29.192.114,1,abuseipdb
100.29.192.115,1,abuseipdb
100.29.192.116,1,abuseipdb
100.29.192.117,1,abuseipdb
100.29.192.119,1,abuseipdb
100.29.192.12,1,abuseipdb
100.29.192.120,1,abuseipdb
100.29.192.121,1,abuseipdb
100.29.192.122,1,abuseipdb
100.29.192.124,1,abuseipdb
100.29.192.125,1,abuseipdb
100.29.192.127,1,abuseipdb
100.29.192.14,1,abuseipdb
100.29.192.15,1,abuseipdb
100.29.192.16,1,abuseipdb
100.29.192.17,1,abuseipdb
100.29.192.18,1,abuseipdb
100.29.192.25,1,abuseipdb
100.29.192.27,1,abuseipdb
100.29.192.28,1,abuseipdb
100.29.192.30,1,abuseipdb
100.29.192.31,1,abuseipdb
100.29.192.32,1,abuseipdb
100.29.192.34,1,abuseipdb
100.29.192.35,1,abuseipdb
100.29.192.36,1,abuseipdb
100.29.192.38,1,abuseipdb
100.29.192.4,1,abuseipdb
100.29.192.40,1,abuseipdb
100.29.192.41,1,abuseipdb
100.29.192.42,1,abuseipdb
100.29.192.43,1,abuseipdb
100.29.192.46,1,abuseipdb
100.29.192.47,1,abuseipdb
100.29.192.5,1,abuseipdb
100.29.192.50,1,abuseipdb
100.29.192.51,1,abuseipdb
100.29.192.52,1,abuseipdb
100.29.192.54,1,abuseipdb
100.29.192.56,1,abuseipdb
100.29.192.57,1,abuseipdb
100.29.192.58,1,abuseipdb
100.29.192.59,1,abuseipdb
100.29.192.60,1,abuseipdb
100.29.192.61,1,abuseipdb
100.29.192.63,1,abuseipdb
100.29.192.64,1,abuseipdb
100.29.192.65,1,abuseipdb
100.29.192.66,1,abuseipdb
100.29.192.67,1,abuseipdb
100.29.192.7,1,abuseipdb
100.29.192.71,1,abuseipdb
100.29.192.72,1,abuseipdb
100.29.192.74,1,abuseipdb
100.29.192.77,1,abuseipdb
100.29.192.78,1,abuseipdb
100.29.192.79,1,abuseipdb
100.29.192.8,1,abuseipdb
100.29.192.90,1,abuseipdb
100.29.192.91,1,abuseipdb
100.29.192.94,1,abuseipdb
100.29.192.96,1,abuseipdb
100.29.192.99,1,abuseipdb
100.30.5.6,1,abuseipdb
100.49.117.77,1,abuseipdb
100.50.17.159,1,abuseipdb
100.53.3.126,1,abuseipdb
100.54.242.238,1,abuseipdb
101.0.104.38,1,abuseipdb
101.100.194.181,1,abuseipdb
101.100.194.199,1,abuseipdb
101.126.130.65,1,abuseipdb
101.126.22.12,1,abuseipdb
101.126.24.74,1,abuseipdb
101.126.26.93,1,abuseipdb
101.126.54.245,1,abuseipdb
101.126.55.63,1,abuseipdb
101.126.55.67,1,abuseipdb
101.126.55.95,1,abuseipdb
101.126.64.76,1,abuseipdb
101.126.67.255,1,abuseipdb
101.126.67.70,1,abuseipdb
101.126.70.177,1,abuseipdb
101.126.81.213,1,abuseipdb
101.126.82.218,1,abuseipdb
101.126.85.58,1,abuseipdb
101.126.86.90,1,abuseipdb
101.126.89.35,1,abuseipdb
101.127.224.41,1,abuseipdb
101.13.4.120,1,abuseipdb
101.132.153.5,1,threatfox
101.200.236.207,1,abuseipdb
101.200.243.197,1,abuseipdb
101.201.38.226,1,abuseipdb
101.206.107.245,1,abuseipdb
101.32.128.193,1,abuseipdb
101.32.208.70,1,abuseipdb
101.32.240.31,1,abuseipdb
101.32.52.164,1,abuseipdb
101.34.27.97,1,abuseipdb
101.35.252.169,1,abuseipdb
101.36.104.242,1,abuseipdb
101.36.106.113,1,abuseipdb
101.36.106.162,1,abuseipdb
101.36.106.78,1,abuseipdb
101.36.106.89,1,abuseipdb
101.36.107.233,1,abuseipdb
101.36.107.243,1,abuseipdb
101.36.107.65,1,abuseipdb
101.36.108.125,1,abuseipdb
101.36.108.133,1,abuseipdb
101.36.108.134,1,abuseipdb
101.36.108.158,1,abuseipdb
101.36.108.175,1,abuseipdb
101.36.108.213,1,abuseipdb
101.36.108.81,1,abuseipdb
101.36.109.176,1,abuseipdb
101.36.111.119,1,abuseipdb
101.36.112.101,1,abuseipdb
101.36.112.235,1,abuseipdb
101.36.113.241,1,abuseipdb
