2026-09-22 04:55:19,XWorm,domain,09090clami09090930032.duckdns.org,#XWorm,https://bazaar.abuse.ch/sample/229b0627278a4200770d998e1fb661c127fb23ebf0a89fb43253aeb729fa208d/
2026-09-21 13:24:14,php.shin_webshell,domain,0ooc3n3eid.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926482/
2026-09-21 19:20:15,ClearFake,domain,17pqcbl3.mychartradyschildrens.org,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1926785/
2026-09-21 11:28:45,php.shin_webshell,domain,542b1els96.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926436/
2026-09-21 17:04:31,ClearFake,domain,5qflb4vy.usa--lipogummy.com,#ClearFake #mac-0x76c7 #macOS,https://threatfox.abuse.ch/ioc/1926660/
2026-09-22 06:26:41,ClearFake,domain,5w84syyg.en-bizopp.com,#ClearFake #mac-0x0f14 #macOS,https://threatfox.abuse.ch/ioc/1927232/
2026-09-21 12:35:11,ClearFake,domain,76ocm7az.en-us-glycofree.com,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1926471/
2026-09-22 05:34:03,ClearFake,domain,82uowq3m.infinityjoespizzaclearwater.com,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1927207/
2026-09-21 12:05:59,ClearFake,domain,850cm.net,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1926464/
2026-09-22 03:21:16,php.shin_webshell,domain,9131francyne.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927096/
2026-09-21 15:54:25,IClickFix,domain,aasmaworld.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926558/
2026-09-21 15:54:26,IClickFix,domain,advantus.es,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926559/
2026-09-21 15:54:26,IClickFix,domain,alchimistgrid.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926560/
2026-09-22 08:31:50,ClearFake,domain,alliancecarerx.com,#22September2026 #ClearFake #Commandline #macOS,https://threatfox.abuse.ch/ioc/1927261/
2026-09-22 08:39:38,ClearFake,domain,allsouthfencing.com,#22September2026 #ClearFake #Commandline #macOS,https://threatfox.abuse.ch/ioc/1927266/
2026-09-21 15:54:26,IClickFix,domain,alsowise.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926561/
2026-09-21 15:54:26,IClickFix,domain,artistchrisgreene.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926562/
