2026-08-24 07:46:05,Mirai,url,http://150.241.65.250:889/raul.mips,#elf #IoT,https://honeylabs.net/lookup/150.241.65.250
2026-08-24 07:46:17,Mozi,url,http://153.117.26.194:55070/Mozi.m,#elf #IoT #Mozi,https://honeylabs.net/lookup/153.117.26.194
2026-08-25 06:19:12,Mozi,url,http://153.117.46.172:51188/Mozi.m,#elf #IoT #Mozi,https://honeylabs.net/lookup/153.117.46.172
2026-08-24 22:50:25,Unknown malware,url,http://176.65.139.196/bins/kla.sh,#Dropper #honeypot #shell-script,https://threatfox.abuse.ch/ioc/1886475/
2026-08-24 22:50:25,Unknown malware,url,http://176.65.139.196/bins/parm,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886476/
2026-08-24 22:50:26,Unknown malware,url,http://176.65.139.196/bins/parm5,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886477/
2026-08-24 22:50:26,Unknown malware,url,http://176.65.139.196/bins/parm6,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886478/
2026-08-24 22:50:27,Unknown malware,url,http://176.65.139.196/bins/parm7,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886479/
2026-08-24 22:50:27,Unknown malware,url,http://176.65.139.196/bins/pm68k,#elf #honeypot #m68k,https://threatfox.abuse.ch/ioc/1886480/
2026-08-24 22:50:28,Unknown malware,url,http://176.65.139.196/bins/pmips,#elf #honeypot #MIPS,https://threatfox.abuse.ch/ioc/1886481/
2026-08-24 22:50:28,Unknown malware,url,http://176.65.139.196/bins/pmpsl,#elf #honeypot #mipsel,https://threatfox.abuse.ch/ioc/1886482/
2026-08-24 22:54:56,Unknown malware,url,http://176.65.139.196/bins/pppc,#elf #ppc,https://threatfox.abuse.ch/ioc/1886502/
2026-08-24 22:54:50,Unknown malware,url,http://176.65.139.196/bins/psh4,#elf #sh4,https://threatfox.abuse.ch/ioc/1886496/
2026-08-24 22:54:50,Unknown malware,url,http://176.65.139.196/bins/px86,#elf #x86,https://threatfox.abuse.ch/ioc/1886495/
2026-08-24 22:54:52,Unknown malware,url,http://176.65.139.202/a.sh,#Dropper #shell-script,https://threatfox.abuse.ch/ioc/1886497/
2026-08-24 22:50:29,Unknown malware,url,http://176.65.139.202/daredevil.arc,#elf #honeypot,https://threatfox.abuse.ch/ioc/1886483/
2026-08-24 22:50:30,Unknown malware,url,http://176.65.139.202/daredevil.armv4l,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886484/
2026-08-24 22:50:30,Unknown malware,url,http://176.65.139.202/daredevil.armv5l,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886485/
2026-08-24 22:50:31,Unknown malware,url,http://176.65.139.202/daredevil.armv6l,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886486/
2026-08-24 22:50:32,Unknown malware,url,http://176.65.139.202/daredevil.armv7l,#ARM #elf #honeypot,https://threatfox.abuse.ch/ioc/1886487/
2026-08-24 22:50:32,Unknown malware,url,http://176.65.139.202/daredevil.i486,#elf #honeypot #x86,https://threatfox.abuse.ch/ioc/1886488/
2026-08-24 22:50:32,Unknown malware,url,http://176.65.139.202/daredevil.m68k,#elf #honeypot #m68k,https://threatfox.abuse.ch/ioc/1886489/
2026-08-24 22:50:33,Unknown malware,url,http://176.65.139.202/daredevil.mips,#elf #honeypot #MIPS,https://threatfox.abuse.ch/ioc/1886490/
2026-08-24 22:54:54,Unknown malware,url,http://176.65.139.202/daredevil.mipsel,#elf #mipsel,https://threatfox.abuse.ch/ioc/1886500/
2026-08-24 22:55:00,Unknown malware,url,http://176.65.139.202/daredevil.powerpc,#elf #ppc,https://threatfox.abuse.ch/ioc/1886505/
2026-08-24 22:54:49,Unknown malware,url,http://176.65.139.202/daredevil.sh4,#elf #sh4,https://threatfox.abuse.ch/ioc/1886493/
2026-08-24 22:55:00,Unknown malware,url,http://176.65.139.202/daredevil.sparc,#elf #sparc,https://threatfox.abuse.ch/ioc/1886504/
2026-08-24 22:54:53,Unknown malware,url,http://176.65.139.202/daredevil.x86_64,#elf #x86-64,https://threatfox.abuse.ch/ioc/1886499/
2026-08-24 22:54:57,Unknown malware,url,http://176.65.139.202/totolink.sh,#Dropper #shell-script,https://threatfox.abuse.ch/ioc/1886503/
2026-08-24 22:54:55,Unknown malware,url,http://176.65.139.202:80/telnet.sh,#Dropper #shell-script,https://threatfox.abuse.ch/ioc/1886501/
2026-08-24 22:54:49,Unknown malware,url,http://176.65.139.202:80/tplinkrouter.sh,#Dropper #shell-script,https://threatfox.abuse.ch/ioc/1886494/
